genotype,replicate id,time point,cell label,angleRegularity,angleVariaton,angleGiniCoeff,lengthRegularity,lengthVariaton,lengthGiniCoeff,labelledImageArea,originalPolygonArea,regularPolygonArea,ratio_originalPolygonArea_labelledImageArea,ratio_regularPolygonArea_labelledImageArea,ratio_regularPolygonArea_originalPolygonArea
WT,20200221 WT S5,120h,65,0.6373218628636732,0.2582098146340127,0.0722476814449472,0.5037503632107158,0.3784017752545121,0.1028367701648906,201.906,162.656,180.7237329532116,0.805602607153824,0.8950884716314106,1.1110794127066421
WT,20200221 WT S5,120h,321,0.7320774555003698,0.1987660244503788,0.0563017501353866,0.4776795341725652,0.4613057624353107,0.1291481245039092,730.219,847.75,1039.1771187344536,1.1609530839378324,1.42310336862565,1.2258060970031892
WT,20200221 WT S5,120h,193,0.7091162459465429,0.1666878568274496,0.0455062841647865,0.5261089285230902,0.4265179335072368,0.117849193735789,388.123,403.194,456.0734844778213,1.038830473844632,1.1750746141759734,1.1311514667326927
WT,20200221 WT S5,120h,289,0.8521523253163107,0.1034792764143423,0.029219148086656,0.5955265056453103,0.4048103850522478,0.1084768165003481,388.125,414.344,440.3154090924864,1.0675529790660225,1.1344680427503675,1.0626807896156005
WT,20200221 WT S5,120h,417,0.7338637813618892,0.1568054045353927,0.0430195401706434,0.449181243604536,0.4733160348263417,0.130657457444363,872.813,933.281,998.1331164100736,1.0692794447378762,1.1435818627931453,1.069488306747993
WT,20200221 WT S5,120h,97,0.7620463058457473,0.1673614942574189,0.0474757995679182,0.8473996390756963,0.0989174755586782,0.0272618513712768,1231.16,1278.19,1401.3194798160926,1.0381997465804607,1.1382106954547682,1.0963311243368299
WT,20200221 WT S5,120h,481,0.566444307911256,0.3651235673238776,0.1036813868132189,0.6932737676274835,0.2511167071689529,0.0674924753002901,433.125,377.5,534.9219652676469,0.8715728715728716,1.2350290684390115,1.417011828523568
WT,20200221 WT S5,120h,17,0.6829914948647398,0.2325200326062692,0.0630664101867565,0.7061042131492122,0.2774453570201175,0.0702767467816577,189.418,176.25,189.7674730149417,0.930481791593196,1.001844983132235,1.076694882354279
WT,20200221 WT S5,120h,529,0.7221504451712225,0.1812498644782451,0.0480465739520284,0.4750695587932205,0.5324234940471848,0.1449764951216193,711.906,723.094,778.2041650886343,1.015715557952876,1.0931276953539293,1.076214385804106
WT,20200221 WT S5,120h,145,0.6763285129919332,0.2276099580479047,0.0616438903239547,0.6331095965589716,0.3019084722787437,0.0804707105999518,1004.13,1009.16,1272.255021052278,1.005009311543326,1.267022219286624,1.2607069454321198
WT,20200221 WT S5,120h,81,0.6781548821093557,0.205909169219699,0.0528279474040755,0.4972855726913736,0.4502002963242746,0.1273793696776629,679.41,749.766,806.9711147927346,1.103554554687155,1.1877527778406773,1.0762972911451503
